"id","title_original","title_cn","category","subcategory","subject","education_level","language","region","ai_tool_or_method","summary_cn","workflow_cn","source_type","credibility","source_url","published_date","accessed_date"
"candidate-001","International Society for Transforming Education Expands its “AI-Ready Graduate” Framework","待审核：International Society for Transforming Education Expands its “AI-Ready Graduate” Framework","AI+Humanities","Language","Language","中学","英文","美国","Generative AI","自动候选：On June 28, the International Society for Transforming Education — the organization behind the editorially independent news site EdSurge — …。请审核是否为真实教学实践案例，并补充正式简体中文摘要。","【案例】待审核：International Society for Transforming Education Expands its “AI-Ready Graduate” Framework\n【适用】中学；方向：Language\n【目标】用Generative AI完成一个可检查的学习任务，并让学习者说明AI帮助和人工判断。\n【流程】1. 用真实问题导入；2. 教师示范提示、生成或反馈；3. 学生完成任务并记录AI对话；4. 核查事实与偏差；5. 修改作品并反思。\n【产出】学习作品、AI使用记录和简短反思。\n【评价】看任务完成度、证据质量、修改过程、AI透明度和反思深度。\n【注意】候选案例需人工审核来源与课堂场景后再上线。","媒体报道","媒体报道","https://edsurge.com/news/international-society-for-transforming-education-expands-its-ai-ready-graduate-framework","2026-06-29","2026-06-30"
"candidate-002","Podcast: Your Kids Know More About AI Than You Do","待审核：Podcast: Your Kids Know More About AI Than You Do","AI for Teaching & Assessment","Teacher Workflow","教师专业发展","初中","英文","美国","Generative AI","自动候选：Schools are racing to write AI policies, but what if the policy is not the first step? This week, we hear from Aleta Margolis , founder and…。请审核是否为真实教学实践案例，并补充正式简体中文摘要。","【案例】待审核：Podcast: Your Kids Know More About AI Than You Do\n【适用】初中；方向：Teacher Workflow\n【目标】用Generative AI完成一个可检查的学习任务，并让学习者说明AI帮助和人工判断。\n【流程】1. 用真实问题导入；2. 教师示范提示、生成或反馈；3. 学生完成任务并记录AI对话；4. 核查事实与偏差；5. 修改作品并反思。\n【产出】学习作品、AI使用记录和简短反思。\n【评价】看任务完成度、证据质量、修改过程、AI透明度和反思深度。\n【注意】候选案例需人工审核来源与课堂场景后再上线。","媒体报道","媒体报道","https://edsurge.com/news/your-kids-know-more-about-ai-than-you-do","2026-06-17","2026-06-30"
"candidate-003","I Built an AI Grading Tool. Then a Student Thanked Me for Words I Didn’t Write.","待审核：I Built an AI Grading Tool. Then a Student Thanked Me for Words I Didn’t Write.","AI for Teaching & Assessment","Assessment / Feedback","写作","教师教育","英文","美国","Chatbot","自动候选：Two school days. That’s all it took. In 2024, I chaperoned field trips two days in a row, for two different grade levels, and came back to …。请审核是否为真实教学实践案例，并补充正式简体中文摘要。","【案例】待审核：I Built an AI Grading Tool. Then a Student Thanked Me for Words I Didn’t Write.\n【适用】教师教育；方向：Assessment / Feedback\n【目标】用Chatbot完成一个可检查的学习任务，并让学习者说明AI帮助和人工判断。\n【流程】1. 用真实问题导入；2. 教师示范提示、生成或反馈；3. 学生完成任务并记录AI对话；4. 核查事实与偏差；5. 修改作品并反思。\n【产出】学习作品、AI使用记录和简短反思。\n【评价】看任务完成度、证据质量、修改过程、AI透明度和反思深度。\n【注意】候选案例需人工审核来源与课堂场景后再上线。","媒体报道","媒体报道","https://edsurge.com/news/i-built-an-ai-grading-tool-then-a-student-thanked-me-for-words-i-didnt-write","2026-06-15","2026-06-30"
"candidate-004","AI Won’t Replace Educators. But It is Changing How Students Learn.","待审核：AI Won’t Replace Educators. But It is Changing How Students Learn.","AI for Teaching & Assessment","Assessment / Feedback","写作","中学","英文","美国","Chatbot","自动候选：Recently, my kindergartner climbed onto the scale and asked me what dinosaurs also weighed 50 pounds. Thanks to Claude, we quickly learned,…。请审核是否为真实教学实践案例，并补充正式简体中文摘要。","【案例】待审核：AI Won’t Replace Educators. But It is Changing How Students Learn.\n【适用】中学；方向：Assessment / Feedback\n【目标】用Chatbot完成一个可检查的学习任务，并让学习者说明AI帮助和人工判断。\n【流程】1. 用真实问题导入；2. 教师示范提示、生成或反馈；3. 学生完成任务并记录AI对话；4. 核查事实与偏差；5. 修改作品并反思。\n【产出】学习作品、AI使用记录和简短反思。\n【评价】看任务完成度、证据质量、修改过程、AI透明度和反思深度。\n【注意】候选案例需人工审核来源与课堂场景后再上线。","媒体报道","媒体报道","https://edsurge.com/news/ai-wont-replace-educators-but-it-is-changing-how-students-learn","2026-06-12","2026-06-30"
"candidate-005","Podcast: AI Is in Schools. Teachers Are Not Ready.","待审核：Podcast: AI Is in Schools. Teachers Are Not Ready.","AI for Teaching & Assessment","Teacher Workflow","教师专业发展","教师教育","英文","美国","Generative AI","自动候选：Three-quarters of school districts now have AI guidelines, up sharply from just a year ago, yet 82% of teachers say they have never receive…。请审核是否为真实教学实践案例，并补充正式简体中文摘要。","【案例】待审核：Podcast: AI Is in Schools. Teachers Are Not Ready.\n【适用】教师教育；方向：Teacher Workflow\n【目标】用Generative AI完成一个可检查的学习任务，并让学习者说明AI帮助和人工判断。\n【流程】1. 用真实问题导入；2. 教师示范提示、生成或反馈；3. 学生完成任务并记录AI对话；4. 核查事实与偏差；5. 修改作品并反思。\n【产出】学习作品、AI使用记录和简短反思。\n【评价】看任务完成度、证据质量、修改过程、AI透明度和反思深度。\n【注意】候选案例需人工审核来源与课堂场景后再上线。","媒体报道","媒体报道","https://edsurge.com/news/ai-is-in-schools-teachers-are-not-ready","2026-06-08","2026-06-30"
"candidate-006","As a Tool of Productivity, AI Can Make the Effort to Learn More Meaningful","待审核：As a Tool of Productivity, AI Can Make the Effort to Learn More Meaningful","AI for Teaching & Assessment","Assessment / Feedback","阅读","大学","英文","美国","Coding Assistant","自动候选：I want to share a story of struggle. Actually, two kinds of struggle. My father completed his doctorate at the University of Utah in the ea…。请审核是否为真实教学实践案例，并补充正式简体中文摘要。","【案例】待审核：As a Tool of Productivity, AI Can Make the Effort to Learn More Meaningful\n【适用】大学；方向：Assessment / Feedback\n【目标】用Coding Assistant完成一个可检查的学习任务，并让学习者说明AI帮助和人工判断。\n【流程】1. 用真实问题导入；2. 教师示范提示、生成或反馈；3. 学生完成任务并记录AI对话；4. 核查事实与偏差；5. 修改作品并反思。\n【产出】学习作品、AI使用记录和简短反思。\n【评价】看任务完成度、证据质量、修改过程、AI透明度和反思深度。\n【注意】候选案例需人工审核来源与课堂场景后再上线。","媒体报道","媒体报道","https://edsurge.com/news/2026-04-03-as-a-tool-of-productivity-ai-can-make-the-effort-to-learn-more-meaningful","2026-04-03","2026-06-30"
"candidate-007","Building AI tailored for education, with educators in the lead","待审核：Building AI tailored for education, with educators in the lead","AI for Teaching & Assessment","Teacher Workflow","教师专业发展","教师教育","英文","全球","Image Generation","自动候选：A graphic featuring the Gemini logo surrounded by icons representing educational tools, including Guided Learning, Study Notebooks, and Not…。请审核是否为真实教学实践案例，并补充正式简体中文摘要。","【案例】待审核：Building AI tailored for education, with educators in the lead\n【适用】教师教育；方向：Teacher Workflow\n【目标】用Image Generation完成一个可检查的学习任务，并让学习者说明AI帮助和人工判断。\n【流程】1. 用真实问题导入；2. 教师示范提示、生成或反馈；3. 学生完成任务并记录AI对话；4. 核查事实与偏差；5. 修改作品并反思。\n【产出】学习作品、AI使用记录和简短反思。\n【评价】看任务完成度、证据质量、修改过程、AI透明度和反思深度。\n【注意】候选案例需人工审核来源与课堂场景后再上线。","学校案例","官方/学校","https://blog.google/products-and-platforms/products/education/iste-2026-educator-updates/","2026-06-25","2026-06-30"
"candidate-008","ISTE 2026: Supporting teaching and learning with connected AI tools","待审核：ISTE 2026: Supporting teaching and learning with connected AI tools","AI for Teaching & Assessment","Assessment / Feedback","写作","大学","英文","全球","Writing Feedback","自动候选：The latest announcements from Google for Education at ISTE 2026. Breadcrumb Products & Platforms Products Learning & Education Collection S…。请审核是否为真实教学实践案例，并补充正式简体中文摘要。","【案例】待审核：ISTE 2026: Supporting teaching and learning with connected AI tools\n【适用】大学；方向：Assessment / Feedback\n【目标】用Writing Feedback完成一个可检查的学习任务，并让学习者说明AI帮助和人工判断。\n【流程】1. 用真实问题导入；2. 教师示范提示、生成或反馈；3. 学生完成任务并记录AI对话；4. 核查事实与偏差；5. 修改作品并反思。\n【产出】学习作品、AI使用记录和简短反思。\n【评价】看任务完成度、证据质量、修改过程、AI透明度和反思深度。\n【注意】候选案例需人工审核来源与课堂场景后再上线。","学校案例","官方/学校","https://blog.google/products-and-platforms/products/education/collection-iste-june-2026/","2026-06-25","2026-06-30"
"candidate-009","Supporting students with connected AI tools for more personalized learning","待审核：Supporting students with connected AI tools for more personalized learning","AI for Teaching & Assessment","Assessment / Feedback","教师专业发展","大学","英文","全球","Writing Feedback","自动候选：A digital graphic collage on a clean white background with faint grey grid lines. In the center foreground sits a large, Google Gemini logo…。请审核是否为真实教学实践案例，并补充正式简体中文摘要。","【案例】待审核：Supporting students with connected AI tools for more personalized learning\n【适用】大学；方向：Assessment / Feedback\n【目标】用Writing Feedback完成一个可检查的学习任务，并让学习者说明AI帮助和人工判断。\n【流程】1. 用真实问题导入；2. 教师示范提示、生成或反馈；3. 学生完成任务并记录AI对话；4. 核查事实与偏差；5. 修改作品并反思。\n【产出】学习作品、AI使用记录和简短反思。\n【评价】看任务完成度、证据质量、修改过程、AI透明度和反思深度。\n【注意】候选案例需人工审核来源与课堂场景后再上线。","学校案例","官方/学校","https://blog.google/products-and-platforms/products/education/iste-students-2026/","2026-06-25","2026-06-30"
"candidate-010","How universities are preparing students for an AI-powered future","待审核：How universities are preparing students for an AI-powered future","AI for Teaching & Assessment","Teacher Workflow","教师专业发展","大学","英文","全球","Generative AI","自动候选：Here’s how U.S. universities are using Google’s AI tools in innovative ways. Breadcrumb Products & Platforms Products Learning & Education …。请审核是否为真实教学实践案例，并补充正式简体中文摘要。","【案例】待审核：How universities are preparing students for an AI-powered future\n【适用】大学；方向：Teacher Workflow\n【目标】用Generative AI完成一个可检查的学习任务，并让学习者说明AI帮助和人工判断。\n【流程】1. 用真实问题导入；2. 教师示范提示、生成或反馈；3. 学生完成任务并记录AI对话；4. 核查事实与偏差；5. 修改作品并反思。\n【产出】学习作品、AI使用记录和简短反思。\n【评价】看任务完成度、证据质量、修改过程、AI透明度和反思深度。\n【注意】候选案例需人工审核来源与课堂场景后再上线。","学校案例","官方/学校","https://blog.google/products-and-platforms/products/education/higher-education-gemini-notebooklm/","2026-06-17","2026-06-30"
