"id","title_original","title_cn","resource_type","category","subject","education_level","audience","language","region","publisher","summary_cn","use_case_cn","source_url","published_date","accessed_date","access_type"
"resource-001","AI competency framework for teachers","UNESCO 教师 AI 能力框架","政策框架","AI Literacy","教师AI能力/伦理/AI教学法","教师教育","教师/学校领导/教师培训者","英文","全球组织","UNESCO","UNESCO 面向教师提出 AI 能力框架，覆盖以人为本、伦理、AI 基础与应用、AI 教学法和教师专业发展等维度。适合作为学校制定教师 AI 培训路线图的基础文件。","可直接用来做教师能力自评表、校本 AI 培训大纲，或把现有教师工作坊映射到伦理、工具理解、教学设计和持续学习四类目标。","https://www.unesco.org/en/articles/ai-competency-framework-teachers","2024","2026-07-04","免费"
"resource-002","AI competency framework for students","UNESCO 学生 AI 能力框架","政策框架","AI Literacy","学生AI素养/伦理/设计与使用","中小学/高等教育","学生/教师/课程设计者","英文","全球组织","UNESCO","UNESCO 面向学生提出 AI 能力框架，强调理解 AI、负责任使用、批判性判断和共同设计。适合用来规划从小学到大学的 AI 素养学习目标。","把框架中的能力转成学生学习成果，例如“能解释 AI 输出的不确定性”“能识别偏见”“能用 AI 完成一个有边界的项目”。","https://www.unesco.org/en/articles/ai-competency-framework-students","2024","2026-07-04","免费"
"resource-003","K-12 AI curricula: A mapping of government-endorsed AI curricula","UNESCO K-12 AI 课程地图报告","研究报告","AI Literacy","K-12 AI课程政策/课程地图","K-12","政策制定者/课程设计者/研究者","英文","全球组织","UNESCO","UNESCO 对多国政府认可的 K-12 AI 课程进行映射，比较课程目标、学习内容、学段安排和实施条件。适合用来对照不同地区 AI 教育政策。","做地区课程比较时，可提取课程目标、学段、课时、教师准备和评估方式作为横向分析表。","https://www.unesco.org/en/articles/k-12-ai-curricula-mapping-government-endorsed-ai-curricula","2022","2026-07-04","免费"
"resource-004","Guidance for generative AI in education and research","UNESCO 生成式 AI 在教育与研究中的指导文件","政策框架","AI for Teaching & Assessment","生成式AI治理/教育政策","混合","教育管理者/教师/研究者","英文","全球组织","UNESCO","该指导文件讨论生成式 AI 在教育和研究中的机会、限制、年龄适切、数据隐私、伦理治理和教学应用边界。适合学校制定 AI 使用政策。","学校可用它制作 AI 使用守则：哪些场景允许、哪些必须披露、哪些数据不能输入，以及教师如何审核 AI 生成内容。","https://www.unesco.org/en/articles/guidance-generative-ai-education-and-research","2023","2026-07-04","免费"
"resource-005","AI4K12 Guidelines: Five Big Ideas in AI","AI4K12：K-12 AI 五大核心概念指南","教师指南","AI Literacy","AI核心概念/感知/表示/学习/交互/社会影响","K-12","教师/课程设计者","英文","美国/全球","AI4K12 Initiative","AI4K12 用“五大概念”组织 K-12 AI 学习：感知、表示与推理、学习、自然交互和社会影响。它适合把零散工具活动整理成系统课程结构。","设计 AI 素养课时，可先选一个 Big Idea，再配一个低门槛活动和一个反思问题，形成 45-60 分钟课堂。","https://ai4k12.org/","2019","2026-07-04","免费"
"resource-006","AI4K12 List of Resources","AI4K12 课程与活动资源目录","资源目录","AI Literacy","AI课程资源/工具/活动","K-12","教师/学生","英文","美国/全球","AI4K12 Initiative","AI4K12 汇总 K-12 AI 教育相关课程、活动、工具和项目入口，适合教师快速寻找按年龄段可用的 AI 教学材料。","备课时先按学段筛选，再把资源标记为“概念导入、动手活动、项目学习、伦理讨论”四类。","https://ai4k12.org/resources/list-of-resources/","2024","2026-07-04","免费"
"resource-007","Day of AI Curriculum","Day of AI 免费 AI 素养课程","课程/教材","AI Literacy","AI素养/生成式AI/负责任AI","小学/初中/高中","教师/学生","英文","全球","MIT RAISE/Day of AI","Day of AI 提供按年龄段设计的 AI 素养课程，覆盖 AI 概念、机器学习、生成式 AI 和社会影响。课程强调教师可直接采用的课堂活动。","适合学校设置 AI 主题日：每个年级选一个模块，学生完成体验活动后用学习单记录“AI 能做什么、不能做什么”。","https://www.dayofai.org/curriculum","2024","2026-07-04","免费"
"resource-008","MIT RAISE","MIT RAISE 负责任 AI 教育资源","资源目录","AI Literacy","负责任AI/社会影响/学习活动","K-12/教师教育","教师/学生/研究者","英文","美国/全球","MIT RAISE","MIT RAISE 汇集面向学生和教师的 AI 教育项目，关注负责任 AI、创造性学习和社会影响。适合寻找课程、研究项目和学生挑战活动。","可作为项目式学习资源池，让学生选择一个 AI 社会议题，完成概念学习、原型制作和伦理反思。","https://raise.mit.edu/","2024","2026-07-04","免费"
"resource-009","K-12 AI Education Program","佛罗里达大学 K-12 AI 教育项目","教师指南","AI Literacy","K-12 AI课程设计/教师支持","K-12","教师/课程设计者","英文","美国","University of Florida","佛罗里达大学的 K-12 AI 教育项目提供面向学校和教师的 AI 教育支持，帮助把 AI 概念、应用与课堂活动连接起来。","适合用作教师备课参考：先确定课程目标，再把 AI 概念嵌入现有科学、数学或计算机课题。","https://ai.ufl.edu/teaching-with-ai/k-12-ai-education-program/","2024","2026-07-04","免费"
"resource-010","Generative Artificial Intelligence (AI) for K-12 Schools","俄勒冈州 K-12 生成式 AI 教育资源页","教师指南","AI for Teaching & Assessment","生成式AI课堂使用/学校指引","K-12","教师/学校领导","英文","美国","Oregon Department of Education","俄勒冈州教育部门整理 K-12 学校使用生成式 AI 的资源、指导和政策参考，强调教学用途、风险管理和公平性。","学校可以把该页作为政策起点，建立教师使用 AI 的例子库、学生披露规则和家长沟通材料。","https://www.oregon.gov/ode/educator-resources/teachingcontent/pages/generative-artificial-intelligence-%28ai%29-for-k-12-schools.aspx","2024","2026-07-04","免费"
"resource-011","Resources for the Educational Use of Generative AI in K-12 Classrooms","俄勒冈州 K-12 生成式 AI 课堂工具包 PDF","课堂工具包","AI for Teaching & Assessment","生成式AI课堂实践/提示词/政策样例","K-12","教师/学校领导","英文","美国","Oregon Department of Education","该 PDF 面向 K-12 教师和学校，提供生成式 AI 教育用途、课堂活动、政策考虑和资源清单。","可拆成教师工作坊材料：第一部分讨论风险，第二部分试写提示词，第三部分把 AI 活动改写成自己的课堂任务。","https://www.oregon.gov/ode/educator-resources/teachingcontent/Documents/ODE_Resources_for_the_Educational_Use_of_Generative_AI_in_K-12_Classrooms_2023.pdf","2023","2026-07-04","免费"
"resource-012","AI Education Resources","ORISE AI 教育资源目录","资源目录","AI Literacy","AI课程/活动/教师资源","K-12","教师/学生","英文","美国","ORISE/ORAU","ORISE 汇总面向 K-12 的 AI 教育资源、课堂活动和教师材料，便于教师快速找到可用于 STEM 课堂的 AI 内容。","适合做资源检索入口：教师可以按“导入活动、完整课程、项目挑战、教师背景资料”四类整理链接。","https://orise.orau.gov/ai-education-resources/index.html","2024","2026-07-04","免费"
"resource-013","AI Resource Book","ORISE AI Resource Book 教师工具书","课堂工具包","AI for Teaching & Assessment","AI课堂活动/教师提示/学习任务","K-12","教师","英文","美国","ORISE/ORAU","ORISE 的 AI Resource Book 以工具书形式整理 AI 教育活动和课堂资源，适合教师从中挑选可直接落地的活动。","把每个活动转换成“目标、材料、步骤、学生产出、评价标准”五栏备课表，便于教研组复用。","https://orise.orau.gov/k12/documents/lesson-plans/ai-resource-book.pdf","2024","2026-07-04","免费"
"resource-014","AI Skills for Educators","Microsoft 教师 AI 技能课程","教师指南","AI for Teaching & Assessment","教师AI技能/课堂应用/职业发展","K-12/高等教育","教师/教育工作者","英文","全球","Microsoft","Microsoft 的 AI Skills for Educators 面向教师提供 AI 技能学习资源，帮助教师理解 AI、设计课堂活动，并在教学与评价中谨慎使用 AI。","可作为教师自学路径：先完成基础模块，再选择一个现有课堂任务，重写为“AI 辅助但需学生解释”的版本。","https://www.microsoft.com/en-us/corporate-responsibility/digital-skills/ai-skills-for-educators","2024","2026-07-04","免费"
"resource-015","AI Resources for Educators","AI for Education 教师资源库","课堂工具包","AI for Teaching & Assessment","教师提示词/课堂工具/学校指引","K-12/高等教育","教师/学校领导","英文","美国/全球","AI for Education","AI for Education 整理面向教师的生成式 AI 资源、模板、提示词和学校支持材料，便于教师把 AI 用于备课、反馈和学习任务设计。","教师可选择一个模板直接改写成本课提示词，并在学生任务说明中加入“可用 AI 的步骤”和“必须人工完成的步骤”。","https://www.aiforeducation.io/ai-resources-main","2025","2026-07-04","免费"
"resource-016","State AI Guidance","AI for Education 美国州级 AI 指引目录","资源目录","AI for Teaching & Assessment","州级AI政策/学校治理","K-12","学校领导/政策制定者/教师","英文","美国","AI for Education","该目录汇总美国各州有关 AI 教育的指导文件，适合比较不同地区对学生使用、教师使用、隐私和学术诚信的规定。","可用于政策研究：把各州文件整理成对照表，比较是否包含年龄限制、学生披露、教师审核和数据隐私要求。","https://www.aiforeducation.io/ai-resources/state-ai-guidance","2025","2026-07-04","免费"
"resource-017","Understanding AI Literacy","斯坦福 Teaching Commons：理解 AI 素养","教师指南","AI Literacy","AI素养/大学教学/批判性使用","高等教育","大学教师/学生","英文","美国","Stanford Teaching Commons","斯坦福 Teaching Commons 的 AI Literacy 指南帮助大学教师理解 AI 素养内涵，并把 AI 使用、批判性判断和课程活动结合起来。","大学课程可用它设计“AI 使用声明”和课程任务，让学生说明何时使用 AI、如何验证、如何保留个人判断。","https://teachingcommons.stanford.edu/teaching-guides/artificial-intelligence-teaching-guide/understanding-ai-literacy","2024","2026-07-04","免费"
"resource-018","Unit 3: Lesson Plans: AI Literacy","Khan Academy / Common Sense Education：AI 素养课程单元","学生课程","AI Literacy","数字公民/AI素养/负责任使用","K-12","教师/学生","英文","美国/全球","Khan Academy/Common Sense Education","Common Sense Education 提供面向学生的 AI 素养和数字公民课程，重点讨论 AI 生成内容、隐私、可信度、偏见和负责任使用。","适合作为 AI 使用前置课：学生先完成一节 AI 可信度或隐私讨论，再进入学科项目中的 AI 使用。","https://www.khanacademy.org/college-careers-more/ai-for-education/x68ea37461197a514%3Aai-our-lives","2024","2026-07-04","免费"
"resource-019","Applied Digital Skills: AI lessons","Google Applied Digital Skills：AI 学习活动","学生课程","AI Literacy","AI技能/数字技能/项目学习","中学/成人教育","学生/教师","英文","全球","Google","Google Applied Digital Skills 提供 AI 相关数字技能学习活动，适合把 AI 概念、信息检索、创作和生产力工具结合起来。","教师可选择一项短活动作为项目热身，让学生完成产出后标记哪些步骤由 AI 辅助、哪些由自己判断。","https://applieddigitalskills.withgoogle.com/en/ai","2025","2026-07-04","免费"
